query,searched_part,searched_brand,url,title,price,currency,price_num,seller,matched_part,matched_brand,part_match,brand_match,sale_type,units,price_per_unit,desc_excerpt,source,accepted,decision_reason,spec:Marca,spec:Código do Produto,spec:NCM,spec:Garantia,spec:Conteúdo,spec:Posição,spec:Código da Montadora,spec:Aplicação,spec:Diâmetro,spec:Composição
bucha dianteiro sampel 2756,,,https://www.canaldapeca.com.br/p/1963510/bucha-da-bandeja-sampel-2756-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Sampel,2756,40169990,12 Meses,Unitário,Dianteira,Original Ford: 2S653063AB,FORD ECOSPORT 2007 | FREESTYLE 1.6 L 8V SOHC L4 - FORD ECOSPORT 2008 | Todas as versões - FORD ECOSPORT 2009 | Todas as versões - FORD ECOSPORT 2010 | VER MAIS,,
bucha dianteiro sampel 2756,,,https://www.canaldapeca.com.br/p/1004177/bucha-da-bandeja-dianteira-automotiva-unidade-sampel-4882-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Sampel,4882,40169990,12 Meses,Unitário,Dianteira,Seat: 1JO407182,AUDI A3 1997 | 1.8 TURBO 20V 150CV - 2P  | 1.8 20V - 2P  - AUDI A3 1998 | 1.8 20V - 2P  | 1.8 TURBO 20V 150CV - 2P  | 1.8 TURBO 20V 150CV - 4P  - AUDI VER MAIS,,
bucha dianteiro sampel 2756,,,https://www.canaldapeca.com.br/p/1008252/bucha-da-bandeja-dianteira-automotiva-unidade-sampel-1302-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Sampel,1302,40169990,12 Meses,Unitário,Dianteira,Fiat: 46421522,FIAT ARGO 2017 | Todas as versões - FIAT ARGO 2018 | Todas as versões - FIAT ARGO 2019 | Todas as versões - FIAT ARGO 2020 | 1.0 1.0 L 6V SOHC L3 | DR VER MAIS,,
bucha dianteiro sampel 2756,,,https://www.canaldapeca.com.br/p/1010747/bucha-da-bandeja-dianteira-automotiva-unidade-sampel-3124-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Sampel,3124,87089990,12 Meses,Unitário,Dianteira,Original Chevrolet: 93309245,CHEVROLET CORSA 2002 | Todas as versões - CHEVROLET CORSA 2003 | Todas as versões - CHEVROLET CORSA 2004 | Todas as versões - CHEVROLET CORSA 2005 | T VER MAIS,,
bucha dianteiro sampel 2756,,,https://www.canaldapeca.com.br/p/6502481/bucha-da-barra-estabilizadora-dianteira-sampel-8409-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Sampel,8409,,12 Meses,Unitário,Dianteira,Hyundai: 548132T000,HYUNDAI AZERA 2011 | Todas as versões - HYUNDAI AZERA 2012 | Todas as versões - HYUNDAI AZERA 2013 | Todas as versões - HYUNDAI AZERA 2014 | Todas as VER MAIS,20mm,
bucha dianteiro sampel 2756,,,https://www.canaldapeca.com.br/p/1913536/bucha-da-bandeja-dianteira-automotiva-estabilidade-conforto-sampel-3143-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Sampel,3143,40169990,12 Meses,Unitário,Dianteira,,CHEVROLET COBALT 2011 | Todas as versões - CHEVROLET COBALT 2012 | Todas as versões - CHEVROLET COBALT 2013 | Todas as versões - CHEVROLET COBALT 2014 VER MAIS,,
bucha dianteiro sampel 2756,,,https://www.canaldapeca.com.br/p/6487180/bucha-da-bandeja-inferior-da-suspensao-dianteira-menor-sampel-8368-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Sampel,8368,,,,Dianteira,,TOYOTA HILUX 2016 | Todas as versões - TOYOTA HILUX 2017 | Todas as versões - TOYOTA HILUX 2018 | Todas as versões - TOYOTA HILUX 2019 | Todas as vers VER MAIS,,Unitário
bucha dianteiro sampel 2756,,,https://www.canaldapeca.com.br/p/1964915/bucha-da-bandeja-dianteira-automotiva-estabilidade-conforto-sampel-8062-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Sampel,8062,40169990,12 Meses,Unitário,Dianteira,,CITROEN AIRCROSS 2010 | EXCLUSIVE 1.6 L 16V DOHC L4 - CITROEN AIRCROSS 2011 | Todas as versões - CITROEN AIRCROSS 2012 | Todas as versões - CITROEN AI VER MAIS,,
bucha dianteiro sampel 2756,,,https://www.canaldapeca.com.br/p/1963841/bucha-da-bandeja-inferior-da-suspensao-dianteira-maior-sampel-8249-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Sampel,8249,,,,Dianteira,,MITSUBISHI L200 2003 | Todas as versões - MITSUBISHI L200 2004 | Todas as versões - MITSUBISHI L200 2005 | Todas as versões - MITSUBISHI L200 2006 | T VER MAIS,,Unitário
bucha dianteiro sampel 2756,,,https://www.canaldapeca.com.br/p/1956359/bucha-da-bandeja-inferior-da-suspensao-dianteira-menor-sampel-8248-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Sampel,8248,,,,Dianteira,,MITSUBISHI L200 2003 | Todas as versões - MITSUBISHI L200 2004 | Todas as versões - MITSUBISHI L200 2005 | Todas as versões - MITSUBISHI L200 2006 | T VER MAIS,,Unitário
